λ,d
532,96.89051963
533,96.88066017
534,96.87090194
535,96.86124424
536,96.85168633
537,96.84222749
538,96.83286699
539,96.8236041
540,96.8144381
541,96.80536827
542,96.79639386
543,96.78751417
544,96.77872845
545,96.770036
546,96.76143607
547,96.75292795
548,96.7445109
549,96.7361842
550,96.72794713
551,96.71979896
552,96.71173895
553,96.7037664
554,96.69588056
555,96.68808071
556,96.68036613
557,96.67273609
558,96.66518986
559,96.65772672
560,96.65034594
561,96.6430468
562,96.63582856
563,96.62869051
564,96.62163191
565,96.61465204
566,96.60775017
567,96.60092558
568,96.59417754
569,96.58750532
570,96.5809082
571,96.57438545
572,96.56793635
573,96.56156016
574,96.55525617
575,96.54902364
576,96.54286185
577,96.53677008
578,96.53074759
579,96.52479366
580,96.51890756
581,96.51308858
582,96.50733597
583,96.50164902
584,96.496027
585,96.49046918
586,96.48497483
587,96.47954324
588,96.47417366
589,96.46886539
590,96.46361768
591,96.45842982
592,96.45330108
593,96.44823073
594,96.44321805
595,96.4382623
596,96.43336276
597,96.42851872
598,96.42372943
599,96.41899417
600,96.41431222
601,96.40968286
602,96.40510534
603,96.40057896
604,96.39610298
605,96.39167667
606,96.38729931
607,96.38297017
608,96.37868853
609,96.37445366
610,96.37026484
611,96.36612133
612,96.36202241
613,96.35796736
614,96.35395544
615,96.34998594
616,96.34605813
617,96.34217127
618,96.33832464
619,96.33451752
620,96.33074919
621,96.3270189
622,96.32332595
623,96.31966959
624,96.31604911
625,96.31246378
626,96.30891287
627,96.30539566
628,96.30191141
629,96.29845941
630,96.29503893
631,96.29164923
632,96.2882896
633,96.28495931
634,96.28165763
635,96.27838384
636,96.2751372
637,96.27191699
638,96.2687225
639,96.26555298
640,96.26240771
641,96.25928598
642,96.25618704
643,96.25311018
644,96.25005466
645,96.24701977
646,96.24400477
647,96.24100894
648,96.23803156
649,96.23507189
650,96.23212921
651,96.22920279
652,96.22629191
653,96.22339585
654,96.22051386
655,96.21764524
656,96.21478925
657,96.21194516
658,96.20911225
659,96.2062898
660,96.20347707
661,96.20067334
662,96.19787789
663,96.19508998
664,96.19230889
665,96.1895339
666,96.18676428
667,96.1839993
668,96.18123824
669,96.17848036
670,96.17572495
671,96.17297127
672,96.17021861
673,96.16746623
674,96.16471341
675,96.16195942
676,96.15920353
677,96.15644502
678,96.15368317
679,96.15091724
680,96.14814651
681,96.14537026
682,96.14258775
683,96.13979826
684,96.13700106
685,96.13419544
686,96.13138066
687,96.12855599
688,96.12572071
689,96.12287409
690,96.12001541
691,96.11714394
692,96.11425895
693,96.11135972
694,96.10844552
695,96.10551563
696,96.10256931
697,96.09960585
698,96.09662451
699,96.09362457
700,96.0906053
701,96.08756598
702,96.08450588
703,96.08142428
704,96.07832044
705,96.07519364
706,96.07204316
707,96.06886827
708,96.06566823
709,96.06244234
710,96.05918985
711,96.05591005
712,96.0526022
713,96.04926558
714,96.04589947
715,96.04250314
716,96.03907585
717,96.0356169
718,96.03212554
719,96.02860105
720,96.02504271
721,96.02144979
722,96.01782156
723,96.0141573
724,96.01045628
725,96.00671777
726,96.00294105
727,95.9991254
728,95.99527008
729,95.99137436
730,95.98743754
731,95.98345886
732,95.97943762
733,95.97537308
734,95.97126452
735,95.9671112
736,95.96291242
737,95.95866743
738,95.95437551
739,95.95003594
740,95.94564799
741,95.94121093
742,95.93672404
743,95.93218658
744,95.92759784
745,95.92295709
746,95.9182636
747,95.91351665
748,95.9087155
749,95.90385943
750,95.89894773
